SD Optics Wisescope Calibration V2
Version = 2.1
Objective = WT1.0x
SerialNumber = NULL
AddOn = Nikon_ICS_50x_ADP1x
AddOnSerialNumber = NULL
Date = 13-Jun-2023
SensorResolutionHorizontal = 2464
SensorResolutionVertical = 2056
ValidStepMin = 0
ValidStepMax = 319
HeightFit = 0
PixelPitchFit = 0
FieldCurvature = poly22
p00 = 0
p10 = 0
p01 = 0
p20 = 0
p11 = 0
p02 = 0
CalibTable = CSV
NumOfRowsExceptHeader = 320
NumOfCols = 8
step,obj_height,pixel_pitch_x,pixel_pitch_y,scale_x,scale_y,shift_x,shift_y
74,  4.26,0.069118,0.069118,1.001715,1.001715,-2.1131,-1.7632
75,  4.25,0.069116,0.069116,1.001695,1.001695,-2.0882,-1.7424
76,  4.23,0.069115,0.069115,1.001675,1.001675,-2.0633,-1.7216
77,  4.21,0.069114,0.069114,1.001654,1.001654,-2.0372,-1.6999
78,  4.19,0.069112,0.069112,1.001633,1.001633,-2.0123,-1.6791
79,  4.17,0.069111,0.069111,1.001613,1.001613,-1.9874,-1.6583
80,  4.16,0.069109,0.069109,1.001593,1.001593,-1.9626,-1.6376
81,  4.14,0.069108,0.069108,1.001573,1.001573,-1.9377,-1.6168
82,  4.12,0.069107,0.069107,1.001553,1.001553,-1.9128,-1.5961
83,  4.10,0.069105,0.069105,1.001532,1.001532,-1.8880,-1.5753
84,  4.08,0.069104,0.069104,1.001512,1.001512,-1.8631,-1.5546
85,  4.07,0.069102,0.069102,1.001491,1.001491,-1.8370,-1.5328
86,  4.05,0.069101,0.069101,1.001471,1.001471,-1.8121,-1.5121
87,  4.03,0.069100,0.069100,1.001451,1.001451,-1.7873,-1.4913
88,  4.01,0.069098,0.069098,1.001431,1.001431,-1.7624,-1.4706
89,  4.00,0.069097,0.069097,1.001410,1.001410,-1.7375,-1.4498
90,  3.98,0.069095,0.069095,1.001390,1.001390,-1.7127,-1.4291
91,  3.96,0.069094,0.069094,1.001370,1.001370,-1.6878,-1.4083
92,  3.94,0.069093,0.069093,1.001350,1.001350,-1.6630,-1.3876
93,  3.93,0.069091,0.069091,1.001331,1.001331,-1.6393,-1.3679
94,  3.91,0.069090,0.069090,1.001310,1.001310,-1.6145,-1.3472
95,  3.89,0.069089,0.069089,1.001290,1.001290,-1.5896,-1.3264
96,  3.87,0.069087,0.069087,1.001270,1.001270,-1.5648,-1.3057
97,  3.86,0.069086,0.069086,1.001250,1.001250,-1.5399,-1.2849
98,  3.84,0.069084,0.069084,1.001230,1.001230,-1.5151,-1.2642
99,  3.82,0.069083,0.069083,1.001210,1.001210,-1.4902,-1.2435
100,  3.80,0.069082,0.069082,1.001189,1.001189,-1.4654,-1.2227
101,  3.79,0.069080,0.069080,1.001169,1.001169,-1.4405,-1.2020
102,  3.77,0.069079,0.069079,1.001150,1.001150,-1.4169,-1.1823
103,  3.75,0.069077,0.069077,1.001130,1.001130,-1.3921,-1.1616
104,  3.74,0.069076,0.069076,1.001110,1.001110,-1.3673,-1.1409
105,  3.72,0.069075,0.069075,1.001090,1.001090,-1.3424,-1.1201
106,  3.70,0.069073,0.069073,1.001069,1.001069,-1.3176,-1.0994
107,  3.68,0.069072,0.069072,1.001050,1.001050,-1.2940,-1.0797
108,  3.67,0.069071,0.069071,1.001030,1.001030,-1.2691,-1.0590
109,  3.65,0.069069,0.069069,1.001010,1.001010,-1.2443,-1.0383
110,  3.63,0.069068,0.069068,1.000990,1.000990,-1.2195,-1.0175
111,  3.62,0.069067,0.069067,1.000971,1.000971,-1.1959,-0.9978
112,  3.60,0.069065,0.069065,1.000951,1.000951,-1.1710,-0.9771
113,  3.58,0.069064,0.069064,1.000930,1.000930,-1.1462,-0.9564
114,  3.57,0.069062,0.069062,1.000910,1.000910,-1.1214,-0.9357
115,  3.55,0.069061,0.069061,1.000891,1.000891,-1.0978,-0.9160
116,  3.53,0.069060,0.069060,1.000871,1.000871,-1.0729,-0.8953
117,  3.51,0.069058,0.069058,1.000851,1.000851,-1.0481,-0.8746
118,  3.50,0.069057,0.069057,1.000832,1.000832,-1.0245,-0.8549
119,  3.48,0.069056,0.069056,1.000811,1.000811,-0.9997,-0.8342
120,  3.46,0.069054,0.069054,1.000791,1.000791,-0.9749,-0.8134
121,  3.45,0.069053,0.069053,1.000772,1.000772,-0.9513,-0.7938
122,  3.43,0.069051,0.069051,1.000752,1.000752,-0.9265,-0.7730
123,  3.41,0.069050,0.069050,1.000732,1.000732,-0.9016,-0.7523
124,  3.40,0.069049,0.069049,1.000713,1.000713,-0.8780,-0.7327
125,  3.38,0.069047,0.069047,1.000693,1.000693,-0.8532,-0.7119
126,  3.36,0.069046,0.069046,1.000672,1.000672,-0.8284,-0.6912
127,  3.35,0.069045,0.069045,1.000653,1.000653,-0.8048,-0.6716
128,  3.33,0.069043,0.069043,1.000633,1.000633,-0.7800,-0.6509
129,  3.31,0.069042,0.069042,1.000613,1.000613,-0.7552,-0.6301
130,  3.30,0.069041,0.069041,1.000594,1.000594,-0.7316,-0.6105
131,  3.28,0.069039,0.069039,1.000574,1.000574,-0.7068,-0.5898
132,  3.26,0.069038,0.069038,1.000554,1.000554,-0.6820,-0.5691
133,  3.24,0.069036,0.069036,1.000534,1.000534,-0.6584,-0.5494
134,  3.23,0.069035,0.069035,1.000514,1.000514,-0.6336,-0.5287
135,  3.21,0.069034,0.069034,1.000495,1.000495,-0.6100,-0.5090
136,  3.19,0.069032,0.069032,1.000475,1.000475,-0.5852,-0.4883
137,  3.18,0.069031,0.069031,1.000455,1.000455,-0.5604,-0.4676
138,  3.16,0.069030,0.069030,1.000436,1.000436,-0.5368,-0.4480
139,  3.14,0.069028,0.069028,1.000416,1.000416,-0.5120,-0.4273
140,  3.13,0.069027,0.069027,1.000395,1.000395,-0.4872,-0.4066
141,  3.11,0.069025,0.069025,1.000376,1.000376,-0.4637,-0.3869
142,  3.10,0.069024,0.069024,1.000356,1.000356,-0.4389,-0.3662
143,  3.08,0.069023,0.069023,1.000336,1.000336,-0.4141,-0.3455
144,  3.06,0.069021,0.069021,1.000317,1.000317,-0.3905,-0.3258
145,  3.05,0.069020,0.069020,1.000297,1.000297,-0.3657,-0.3052
146,  3.03,0.069019,0.069019,1.000277,1.000277,-0.3409,-0.2845
147,  3.01,0.069017,0.069017,1.000258,1.000258,-0.3174,-0.2648
148,  3.00,0.069016,0.069016,1.000237,1.000237,-0.2926,-0.2441
149,  2.98,0.069015,0.069015,1.000218,1.000218,-0.2690,-0.2245
150,  2.96,0.069013,0.069013,1.000198,1.000198,-0.2442,-0.2038
151,  2.95,0.069012,0.069012,1.000178,1.000178,-0.2194,-0.1831
152,  2.93,0.069010,0.069010,1.000159,1.000159,-0.1959,-0.1634
153,  2.91,0.069009,0.069009,1.000139,1.000139,-0.1711,-0.1427
154,  2.89,0.069008,0.069008,1.000119,1.000119,-0.1463,-0.1220
155,  2.88,0.069006,0.069006,1.000100,1.000100,-0.1227,-0.1024
156,  2.86,0.069005,0.069005,1.000079,1.000079,-0.0979,-0.0817
157,  2.84,0.069004,0.069004,1.000059,1.000059,-0.0731,-0.0610
158,  2.83,0.069002,0.069002,1.000039,1.000039,-0.0483,-0.0403
159,  2.81,0.069001,0.069001,1.000020,1.000020,-0.0248,-0.0207
160,  2.79,0.069000,0.069000,1.000000,1.000000,0.0000,0.0000
161,  2.78,0.068998,0.068998,0.999980,0.999980,0.0248,0.0207
162,  2.76,0.068997,0.068997,0.999961,0.999961,0.0483,0.0403
163,  2.74,0.068995,0.068995,0.999941,0.999941,0.0731,0.0610
164,  2.72,0.068994,0.068994,0.999921,0.999921,0.0979,0.0817
165,  2.71,0.068993,0.068993,0.999900,0.999900,0.1227,0.1024
166,  2.69,0.068991,0.068991,0.999881,0.999881,0.1462,0.1220
167,  2.67,0.068990,0.068990,0.999861,0.999861,0.1710,0.1427
168,  2.66,0.068989,0.068989,0.999841,0.999841,0.1958,0.1634
169,  2.64,0.068987,0.068987,0.999821,0.999821,0.2206,0.1841
170,  2.62,0.068986,0.068986,0.999801,0.999801,0.2454,0.2047
171,  2.60,0.068984,0.068984,0.999782,0.999782,0.2689,0.2244
172,  2.59,0.068983,0.068983,0.999762,0.999762,0.2937,0.2450
173,  2.57,0.068982,0.068982,0.999742,0.999742,0.3185,0.2657
174,  2.55,0.068980,0.068980,0.999721,0.999721,0.3432,0.2864
175,  2.54,0.068979,0.068979,0.999701,0.999701,0.3680,0.3071
176,  2.52,0.068978,0.068978,0.999681,0.999681,0.3928,0.3277
177,  2.50,0.068976,0.068976,0.999661,0.999661,0.4175,0.3484
178,  2.48,0.068975,0.068975,0.999642,0.999642,0.4411,0.3680
179,  2.47,0.068973,0.068973,0.999622,0.999622,0.4658,0.3887
180,  2.45,0.068972,0.068972,0.999602,0.999602,0.4906,0.4094
181,  2.43,0.068971,0.068971,0.999582,0.999582,0.5154,0.4300
182,  2.42,0.068969,0.068969,0.999562,0.999562,0.5401,0.4507
183,  2.40,0.068968,0.068968,0.999541,0.999541,0.5649,0.4714
184,  2.38,0.068967,0.068967,0.999521,0.999521,0.5897,0.4920
185,  2.36,0.068965,0.068965,0.999501,0.999501,0.6144,0.5127
186,  2.35,0.068964,0.068964,0.999481,0.999481,0.6392,0.5333
187,  2.33,0.068962,0.068962,0.999461,0.999461,0.6639,0.5540
188,  2.31,0.068961,0.068961,0.999441,0.999441,0.6887,0.5747
189,  2.30,0.068960,0.068960,0.999421,0.999421,0.7135,0.5953
190,  2.28,0.068958,0.068958,0.999401,0.999401,0.7382,0.6160
191,  2.26,0.068957,0.068957,0.999381,0.999381,0.7630,0.6366
192,  2.25,0.068955,0.068955,0.999361,0.999361,0.7877,0.6573
193,  2.23,0.068954,0.068954,0.999340,0.999340,0.8137,0.6790
194,  2.21,0.068953,0.068953,0.999319,0.999319,0.8384,0.6996
195,  2.20,0.068951,0.068951,0.999299,0.999299,0.8632,0.7203
196,  2.18,0.068950,0.068950,0.999279,0.999279,0.8879,0.7409
197,  2.16,0.068948,0.068948,0.999259,0.999259,0.9127,0.7616
198,  2.15,0.068947,0.068947,0.999239,0.999239,0.9374,0.7822
199,  2.13,0.068946,0.068946,0.999218,0.999218,0.9634,0.8039
200,  2.11,0.068944,0.068944,0.999198,0.999198,0.9881,0.8245
201,  2.10,0.068943,0.068943,0.999178,0.999178,1.0129,0.8452
202,  2.08,0.068941,0.068941,0.999158,0.999158,1.0376,0.8658
203,  2.06,0.068940,0.068940,0.999137,0.999137,1.0636,0.8875
204,  2.05,0.068939,0.068939,0.999117,0.999117,1.0883,0.9081
205,  2.03,0.068937,0.068937,0.999097,0.999097,1.1131,0.9288
206,  2.01,0.068936,0.068936,0.999075,0.999075,1.1391,0.9504
207,  2.00,0.068934,0.068934,0.999055,0.999055,1.1638,0.9711
208,  1.98,0.068933,0.068933,0.999034,0.999034,1.1898,0.9928
209,  1.96,0.068932,0.068932,0.999014,0.999014,1.2145,1.0134
210,  1.95,0.068930,0.068930,0.998994,0.998994,1.2392,1.0340
211,  1.93,0.068929,0.068929,0.998973,0.998973,1.2652,1.0557
212,  1.91,0.068927,0.068927,0.998953,0.998953,1.2899,1.0763
213,  1.90,0.068926,0.068926,0.998932,0.998932,1.3159,1.0980
214,  1.88,0.068924,0.068924,0.998911,0.998911,1.3419,1.1197
215,  1.86,0.068923,0.068923,0.998891,0.998891,1.3666,1.1403
216,  1.84,0.068922,0.068922,0.998870,0.998870,1.3926,1.1620
217,  1.83,0.068920,0.068920,0.998850,0.998850,1.4173,1.1826
218,  1.81,0.068919,0.068919,0.998829,0.998829,1.4432,1.2043
219,  1.79,0.068917,0.068917,0.998807,0.998807,1.4692,1.2259
220,  1.78,0.068916,0.068916,0.998787,0.998787,1.4939,1.2466
221,  1.76,0.068914,0.068914,0.998766,0.998766,1.5199,1.2682
222,  1.74,0.068913,0.068913,0.998745,0.998745,1.5458,1.2899
223,  1.72,0.068911,0.068911,0.998724,0.998724,1.5718,1.3115
224,  1.71,0.068910,0.068910,0.998704,0.998704,1.5965,1.3322
225,  1.69,0.068909,0.068909,0.998683,0.998683,1.6225,1.3538
226,  1.67,0.068907,0.068907,0.998662,0.998662,1.6484,1.3755
227,  1.66,0.068906,0.068906,0.998641,0.998641,1.6744,1.3971
228,  1.64,0.068904,0.068904,0.998620,0.998620,1.7003,1.4188
229,  1.62,0.068903,0.068903,0.998599,0.998599,1.7263,1.4404
230,  1.60,0.068901,0.068901,0.998578,0.998578,1.7522,1.4621
231,  1.59,0.068900,0.068900,0.998557,0.998557,1.7782,1.4837
