SD Optics Wisescope Calibration V2
Version = 2.1
Objective = WT1.0x
SerialNumber = NULL
AddOn = Nikon_ICS_2p0x_ADP1x
AddOnSerialNumber = NULL
Date = 13-Jun-2023
SensorResolutionHorizontal = 2464
SensorResolutionVertical = 2056
ValidStepMin = 0
ValidStepMax = 319
HeightFit = 0
PixelPitchFit = 0
FieldCurvature = poly22
p00 = 0
p10 = 0
p01 = 0
p20 = 0
p11 = 0
p02 = 0
CalibTable = CSV
NumOfRowsExceptHeader = 320
NumOfCols = 8
step,obj_height,pixel_pitch_x,pixel_pitch_y,scale_x,scale_y,shift_x,shift_y
72, 3068.40,1.727886,1.727886,1.001677,1.001677,-2.0666,-1.7244
73, 3055.45,1.727851,1.727851,1.001657,1.001657,-2.0416,-1.7036
74, 3042.52,1.727818,1.727818,1.001638,1.001638,-2.0179,-1.6838
75, 3029.60,1.727785,1.727785,1.001619,1.001619,-1.9942,-1.6640
76, 3016.70,1.727752,1.727752,1.001599,1.001599,-1.9705,-1.6442
77, 3003.82,1.727717,1.727717,1.001579,1.001579,-1.9456,-1.6234
78, 2990.95,1.727684,1.727684,1.001560,1.001560,-1.9219,-1.6036
79, 2978.10,1.727650,1.727650,1.001541,1.001541,-1.8982,-1.5838
80, 2965.28,1.727617,1.727617,1.001521,1.001521,-1.8744,-1.5641
81, 2952.48,1.727584,1.727584,1.001502,1.001502,-1.8507,-1.5443
82, 2939.71,1.727551,1.727551,1.001483,1.001483,-1.8270,-1.5245
83, 2926.96,1.727518,1.727518,1.001464,1.001464,-1.8033,-1.5047
84, 2914.25,1.727484,1.727484,1.001444,1.001444,-1.7796,-1.4849
85, 2901.58,1.727449,1.727449,1.001424,1.001424,-1.7546,-1.4641
86, 2888.93,1.727416,1.727416,1.001405,1.001405,-1.7309,-1.4443
87, 2876.33,1.727383,1.727383,1.001386,1.001386,-1.7072,-1.4245
88, 2863.77,1.727350,1.727350,1.001366,1.001366,-1.6835,-1.4047
89, 2851.24,1.727317,1.727317,1.001347,1.001347,-1.6598,-1.3849
90, 2838.75,1.727283,1.727283,1.001328,1.001328,-1.6360,-1.3651
91, 2826.30,1.727250,1.727250,1.001309,1.001309,-1.6123,-1.3453
92, 2813.87,1.727217,1.727217,1.001289,1.001289,-1.5886,-1.3255
93, 2801.47,1.727185,1.727185,1.001271,1.001271,-1.5661,-1.3068
94, 2789.09,1.727152,1.727152,1.001252,1.001252,-1.5424,-1.2870
95, 2776.74,1.727119,1.727119,1.001233,1.001233,-1.5186,-1.2672
96, 2764.41,1.727086,1.727086,1.001213,1.001213,-1.4949,-1.2474
97, 2752.10,1.727052,1.727052,1.001194,1.001194,-1.4712,-1.2276
98, 2739.80,1.727019,1.727019,1.001175,1.001175,-1.4474,-1.2078
99, 2727.52,1.726986,1.726986,1.001156,1.001156,-1.4237,-1.1880
100, 2715.25,1.726953,1.726953,1.001136,1.001136,-1.4000,-1.1681
101, 2703.00,1.726920,1.726920,1.001117,1.001117,-1.3762,-1.1483
102, 2690.76,1.726888,1.726888,1.001099,1.001099,-1.3537,-1.1296
103, 2678.53,1.726855,1.726855,1.001080,1.001080,-1.3300,-1.1098
104, 2666.32,1.726822,1.726822,1.001060,1.001060,-1.3063,-1.0900
105, 2654.12,1.726788,1.726788,1.001041,1.001041,-1.2825,-1.0702
106, 2641.93,1.726755,1.726755,1.001022,1.001022,-1.2588,-1.0504
107, 2629.75,1.726724,1.726724,1.001003,1.001003,-1.2363,-1.0316
108, 2617.58,1.726690,1.726690,1.000984,1.000984,-1.2126,-1.0118
109, 2605.42,1.726657,1.726657,1.000965,1.000965,-1.1888,-0.9920
110, 2593.26,1.726624,1.726624,1.000946,1.000946,-1.1651,-0.9722
111, 2581.12,1.726592,1.726592,1.000927,1.000927,-1.1426,-0.9534
112, 2568.99,1.726559,1.726559,1.000908,1.000908,-1.1189,-0.9336
113, 2556.87,1.726526,1.726526,1.000889,1.000889,-1.0951,-0.9138
114, 2544.75,1.726493,1.726493,1.000870,1.000870,-1.0714,-0.8940
115, 2532.64,1.726461,1.726461,1.000851,1.000851,-1.0489,-0.8752
116, 2520.54,1.726428,1.726428,1.000832,1.000832,-1.0252,-0.8554
117, 2508.45,1.726395,1.726395,1.000813,1.000813,-1.0014,-0.8356
118, 2496.36,1.726363,1.726363,1.000795,1.000795,-0.9789,-0.8168
119, 2484.28,1.726330,1.726330,1.000775,1.000775,-0.9552,-0.7970
120, 2472.21,1.726297,1.726297,1.000756,1.000756,-0.9315,-0.7772
121, 2460.15,1.726265,1.726265,1.000738,1.000738,-0.9090,-0.7585
122, 2448.09,1.726232,1.726232,1.000719,1.000719,-0.8853,-0.7387
123, 2436.03,1.726199,1.726199,1.000699,1.000699,-0.8615,-0.7189
124, 2423.99,1.726167,1.726167,1.000681,1.000681,-0.8390,-0.7001
125, 2411.96,1.726134,1.726134,1.000662,1.000662,-0.8153,-0.6803
126, 2399.93,1.726101,1.726101,1.000643,1.000643,-0.7916,-0.6605
127, 2387.91,1.726069,1.726069,1.000624,1.000624,-0.7691,-0.6417
128, 2375.89,1.726036,1.726036,1.000605,1.000605,-0.7454,-0.6219
129, 2363.89,1.726003,1.726003,1.000586,1.000586,-0.7216,-0.6021
130, 2351.90,1.725972,1.725972,1.000567,1.000567,-0.6991,-0.5834
131, 2339.92,1.725938,1.725938,1.000548,1.000548,-0.6754,-0.5636
132, 2327.95,1.725905,1.725905,1.000529,1.000529,-0.6517,-0.5438
133, 2316.00,1.725874,1.725874,1.000511,1.000511,-0.6292,-0.5250
134, 2304.07,1.725840,1.725840,1.000491,1.000491,-0.6055,-0.5052
135, 2292.15,1.725809,1.725809,1.000473,1.000473,-0.5830,-0.4864
136, 2280.26,1.725776,1.725776,1.000454,1.000454,-0.5592,-0.4666
137, 2268.39,1.725742,1.725742,1.000435,1.000435,-0.5355,-0.4468
138, 2256.54,1.725711,1.725711,1.000416,1.000416,-0.5130,-0.4281
139, 2244.70,1.725678,1.725678,1.000397,1.000397,-0.4893,-0.4083
140, 2232.88,1.725644,1.725644,1.000378,1.000378,-0.4655,-0.3885
141, 2221.06,1.725613,1.725613,1.000360,1.000360,-0.4430,-0.3697
142, 2209.25,1.725580,1.725580,1.000340,1.000340,-0.4193,-0.3499
143, 2197.44,1.725546,1.725546,1.000321,1.000321,-0.3956,-0.3301
144, 2185.61,1.725515,1.725515,1.000303,1.000303,-0.3731,-0.3113
145, 2173.78,1.725482,1.725482,1.000284,1.000284,-0.3494,-0.2915
146, 2161.92,1.725449,1.725449,1.000264,1.000264,-0.3256,-0.2717
147, 2150.05,1.725417,1.725417,1.000246,1.000246,-0.3032,-0.2530
148, 2138.14,1.725384,1.725384,1.000227,1.000227,-0.2794,-0.2332
149, 2126.21,1.725352,1.725352,1.000209,1.000209,-0.2570,-0.2144
150, 2114.24,1.725319,1.725319,1.000189,1.000189,-0.2333,-0.1946
151, 2102.25,1.725286,1.725286,1.000170,1.000170,-0.2095,-0.1748
152, 2090.23,1.725255,1.725255,1.000152,1.000152,-0.1871,-0.1561
153, 2078.19,1.725221,1.725221,1.000133,1.000133,-0.1634,-0.1363
154, 2066.13,1.725188,1.725188,1.000113,1.000113,-0.1397,-0.1165
155, 2054.04,1.725157,1.725157,1.000095,1.000095,-0.1172,-0.0978
156, 2041.93,1.725124,1.725124,1.000076,1.000076,-0.0935,-0.0780
157, 2029.81,1.725090,1.725090,1.000057,1.000057,-0.0698,-0.0583
158, 2017.66,1.725057,1.725057,1.000037,1.000037,-0.0461,-0.0385
159, 2005.50,1.725026,1.725026,1.000019,1.000019,-0.0237,-0.0198
160, 1993.32,1.724993,1.724993,1.000000,1.000000,0.0000,0.0000
161, 1981.14,1.724959,1.724959,0.999981,0.999981,0.0237,0.0198
162, 1968.93,1.724928,1.724928,0.999963,0.999963,0.0461,0.0385
163, 1956.72,1.724895,1.724895,0.999943,0.999943,0.0698,0.0582
164, 1944.50,1.724862,1.724862,0.999924,0.999924,0.0935,0.0780
165, 1932.27,1.724829,1.724829,0.999905,0.999905,0.1172,0.0978
166, 1920.03,1.724797,1.724797,0.999887,0.999887,0.1396,0.1165
167, 1907.79,1.724764,1.724764,0.999867,0.999867,0.1633,0.1362
168, 1895.54,1.724731,1.724731,0.999848,0.999848,0.1869,0.1560
169, 1883.29,1.724698,1.724698,0.999829,0.999829,0.2106,0.1757
170, 1871.04,1.724665,1.724665,0.999810,0.999810,0.2343,0.1955
171, 1858.80,1.724633,1.724633,0.999792,0.999792,0.2567,0.2142
172, 1846.55,1.724600,1.724600,0.999772,0.999772,0.2804,0.2340
173, 1834.31,1.724567,1.724567,0.999753,0.999753,0.3041,0.2537
174, 1822.08,1.724534,1.724534,0.999734,0.999734,0.3277,0.2735
175, 1809.85,1.724501,1.724501,0.999715,0.999715,0.3514,0.2932
176, 1797.64,1.724467,1.724467,0.999696,0.999696,0.3750,0.3129
177, 1785.43,1.724434,1.724434,0.999676,0.999676,0.3987,0.3327
178, 1773.25,1.724403,1.724403,0.999658,0.999658,0.4211,0.3514
179, 1761.07,1.724370,1.724370,0.999639,0.999639,0.4448,0.3712
180, 1748.92,1.724337,1.724337,0.999620,0.999620,0.4685,0.3909
181, 1736.78,1.724304,1.724304,0.999601,0.999601,0.4921,0.4107
182, 1724.66,1.724270,1.724270,0.999581,0.999581,0.5158,0.4304
183, 1712.57,1.724237,1.724237,0.999562,0.999562,0.5395,0.4502
184, 1700.51,1.724204,1.724204,0.999543,0.999543,0.5632,0.4699
185, 1688.47,1.724171,1.724171,0.999524,0.999524,0.5868,0.4897
186, 1676.46,1.724138,1.724138,0.999504,0.999504,0.6105,0.5094
187, 1664.48,1.724105,1.724105,0.999485,0.999485,0.6342,0.5292
188, 1652.54,1.724072,1.724072,0.999466,0.999466,0.6578,0.5489
189, 1640.63,1.724038,1.724038,0.999447,0.999447,0.6815,0.5687
190, 1628.74,1.724005,1.724005,0.999428,0.999428,0.7052,0.5884
191, 1616.87,1.723972,1.723972,0.999408,0.999408,0.7289,0.6082
192, 1605.01,1.723939,1.723939,0.999389,0.999389,0.7526,0.6279
193, 1593.17,1.723904,1.723904,0.999369,0.999369,0.7775,0.6487
194, 1581.32,1.723871,1.723871,0.999350,0.999350,0.8011,0.6685
195, 1569.48,1.723838,1.723838,0.999331,0.999331,0.8248,0.6882
196, 1557.62,1.723805,1.723805,0.999311,0.999311,0.8485,0.7080
197, 1545.75,1.723771,1.723771,0.999292,0.999292,0.8722,0.7277
198, 1533.86,1.723738,1.723738,0.999273,0.999273,0.8958,0.7475
199, 1521.94,1.723703,1.723703,0.999253,0.999253,0.9207,0.7683
200, 1510.00,1.723670,1.723670,0.999233,0.999233,0.9444,0.7880
201, 1498.04,1.723637,1.723637,0.999214,0.999214,0.9681,0.8078
202, 1486.05,1.723604,1.723604,0.999195,0.999195,0.9917,0.8275
203, 1474.05,1.723569,1.723569,0.999175,0.999175,1.0166,0.8483
204, 1462.04,1.723536,1.723536,0.999156,0.999156,1.0403,0.8680
205, 1450.00,1.723503,1.723503,0.999136,0.999136,1.0639,0.8877
206, 1437.95,1.723468,1.723468,0.999116,0.999116,1.0888,0.9085
207, 1425.89,1.723435,1.723435,0.999097,0.999097,1.1124,0.9282
208, 1413.82,1.723400,1.723400,0.999077,0.999077,1.1373,0.9490
209, 1401.73,1.723367,1.723367,0.999058,0.999058,1.1610,0.9687
210, 1389.64,1.723334,1.723334,0.999038,0.999038,1.1846,0.9884
211, 1377.54,1.723299,1.723299,0.999018,0.999018,1.2095,1.0092
212, 1365.42,1.723266,1.723266,0.998999,0.998999,1.2331,1.0289
213, 1353.29,1.723231,1.723231,0.998979,0.998979,1.2580,1.0497
214, 1341.15,1.723196,1.723196,0.998959,0.998959,1.2828,1.0704
215, 1329.00,1.723163,1.723163,0.998940,0.998940,1.3065,1.0901
216, 1316.83,1.723129,1.723129,0.998919,0.998919,1.3313,1.1109
217, 1304.65,1.723095,1.723095,0.998900,0.998900,1.3550,1.1306
218, 1292.45,1.723061,1.723061,0.998880,0.998880,1.3798,1.1513
219, 1280.24,1.723026,1.723026,0.998860,0.998860,1.4047,1.1721
220, 1268.01,1.722993,1.722993,0.998841,0.998841,1.4283,1.1918
221, 1255.77,1.722958,1.722958,0.998821,0.998821,1.4531,1.2125
222, 1243.51,1.722923,1.722923,0.998800,0.998800,1.4780,1.2332
223, 1231.25,1.722888,1.722888,0.998780,0.998780,1.5028,1.2540
224, 1218.97,1.722855,1.722855,0.998761,0.998761,1.5264,1.2737
225, 1206.68,1.722821,1.722821,0.998741,0.998741,1.5513,1.2944
226, 1194.38,1.722786,1.722786,0.998721,0.998721,1.5761,1.3151
227, 1182.07,1.722751,1.722751,0.998701,0.998701,1.6010,1.3359
228, 1169.76,1.722716,1.722716,0.998680,0.998680,1.6258,1.3566
229, 1157.44,1.722681,1.722681,0.998660,0.998660,1.6506,1.3773
230, 1145.11,1.722647,1.722647,0.998640,0.998640,1.6755,1.3980
231, 1132.77,1.722612,1.722612,0.998620,0.998620,1.7003,1.4187
232, 1120.44,1.722577,1.722577,0.998600,0.998600,1.7251,1.4395
233, 1108.10,1.722542,1.722542,0.998580,0.998580,1.7499,1.4602
234, 1095.75,1.722508,1.722508,0.998559,0.998559,1.7748,1.4809
235, 1083.41,1.722473,1.722473,0.998539,0.998539,1.7996,1.5016
236, 1071.06,1.722438,1.722438,0.998519,0.998519,1.8244,1.5223
237, 1058.71,1.722402,1.722402,0.998498,0.998498,1.8505,1.5441
238, 1046.36,1.722367,1.722367,0.998478,0.998478,1.8753,1.5648
239, 1034.01,1.722332,1.722332,0.998458,0.998458,1.9001,1.5855
240, 1021.67,1.722297,1.722297,0.998438,0.998438,1.9249,1.6062
241, 1009.32,1.722261,1.722261,0.998416,0.998416,1.9510,1.6279
242, 996.96,1.722226,1.722226,0.998396,0.998396,1.9758,1.6486
243, 984.60,1.722191,1.722191,0.998376,0.998376,2.0006,1.6694
244, 972.23,1.722155,1.722155,0.998355,0.998355,2.0267,1.6911
245, 959.85,1.722120,1.722120,0.998335,0.998335,2.0515,1.7118
246, 947.46,1.722084,1.722084,0.998314,0.998314,2.0775,1.7335
247, 935.05,1.722049,1.722049,0.998294,0.998294,2.1023,1.7542
248, 922.64,1.722013,1.722013,0.998272,0.998272,2.1284,1.7759
249, 910.20,1.721978,1.721978,0.998252,0.998252,2.1532,1.7966
250, 897.75,1.721941,1.721941,0.998231,0.998231,2.1792,1.8184
251, 885.28,1.721905,1.721905,0.998210,0.998210,2.2052,1.8401
252, 872.80,1.721870,1.721870,0.998190,0.998190,2.2300,1.8608
253, 860.30,1.721834,1.721834,0.998169,0.998169,2.2560,1.8825
254, 847.78,1.721797,1.721797,0.998148,0.998148,2.2821,1.9042
255, 835.25,1.721761,1.721761,0.998127,0.998127,2.3081,1.9259
256, 822.70,1.721726,1.721726,0.998106,0.998106,2.3329,1.9466
257, 810.14,1.721690,1.721690,0.998085,0.998085,2.3589,1.9683
258, 797.56,1.721653,1.721653,0.998064,0.998064,2.3849,1.9900
259, 784.96,1.721617,1.721617,0.998043,0.998043,2.4109,2.0117
260, 772.33,1.721581,1.721581,0.998022,0.998022,2.4369,2.0334
261, 759.68,1.721544,1.721544,0.998001,0.998001,2.4629,2.0551
262, 747.00,1.721508,1.721508,0.997980,0.997980,2.4889,2.0768
263, 734.27,1.721471,1.721471,0.997959,0.997959,2.5149,2.0985
264, 721.50,1.721435,1.721435,0.997938,0.997938,2.5409,2.1202
265, 708.69,1.721397,1.721397,0.997916,0.997916,2.5681,2.1429
266, 695.81,1.721361,1.721361,0.997894,0.997894,2.5941,2.1645
267, 682.88,1.721324,1.721324,0.997873,0.997873,2.6200,2.1862
268, 669.89,1.721288,1.721288,0.997852,0.997852,2.6460,2.2079
269, 656.84,1.721250,1.721250,0.997830,0.997830,2.6732,2.2306
270, 643.74,1.721213,1.721213,0.997809,0.997809,2.6992,2.2522
271, 630.59,1.721175,1.721175,0.997787,0.997787,2.7263,2.2749
272, 617.41,1.721139,1.721139,0.997766,0.997766,2.7523,2.2965
273, 604.19,1.721101,1.721101,0.997744,0.997744,2.7795,2.3192
274, 590.96,1.721065,1.721065,0.997723,0.997723,2.8054,2.3409
275, 577.70,1.721027,1.721027,0.997701,0.997701,2.8326,2.3635
276, 564.44,1.720990,1.720990,0.997680,0.997680,2.8585,2.3852
277, 551.18,1.720952,1.720952,0.997658,0.997658,2.8857,2.4078
278, 537.93,1.720914,1.720914,0.997636,0.997636,2.9128,2.4305
279, 524.68,1.720878,1.720878,0.997615,0.997615,2.9388,2.4521
280, 511.45,1.720840,1.720840,0.997593,0.997593,2.9659,2.4748
281, 498.24,1.720802,1.720802,0.997571,0.997571,2.9931,2.4975
282, 485.06,1.720764,1.720764,0.997549,0.997549,3.0202,2.5201
283, 471.90,1.720726,1.720726,0.997526,0.997526,3.0474,2.5428
284, 458.78,1.720688,1.720688,0.997504,0.997504,3.0746,2.5655
285, 445.71,1.720650,1.720650,0.997482,0.997482,3.1017,2.5881
286, 432.68,1.720612,1.720612,0.997460,0.997460,3.1289,2.6108
287, 419.68,1.720574,1.720574,0.997438,0.997438,3.1561,2.6335
288, 406.72,1.720536,1.720536,0.997416,0.997416,3.1832,2.6561
289, 393.78,1.720496,1.720496,0.997393,0.997393,3.2116,2.6798
290, 380.85,1.720458,1.720458,0.997371,0.997371,3.2388,2.7025
291, 367.91,1.720420,1.720420,0.997349,0.997349,3.2660,2.7252
292, 354.97,1.720380,1.720380,0.997326,0.997326,3.2944,2.7489
293, 342.00,1.720342,1.720342,0.997304,0.997304,3.3215,2.7715
294, 329.00,1.720302,1.720302,0.997281,0.997281,3.3499,2.7952
295, 315.95,1.720264,1.720264,0.997259,0.997259,3.3771,2.8179
296, 302.84,1.720224,1.720224,0.997236,0.997236,3.4055,2.8416
