SD Optics Wisescope Calibration V2
Version = 2.1
Objective = 1.0x
SerialNumber = Default
AddOn = default 1.0x
AddOnSerialNumber = Default
Date = 20190918
SensorResolutionHorizontal = 2048
SensorResolutionVertical = 1536
ValidStepMin = 0
ValidStepMax = 319
HeightFit = 6409.18219267806,-20.43529972,0.000347935,3.01E-05,-8.99E-08,0,,
PixelPitchFit = 2.52640065088855,0.000271296,0,0,0,0,,
FieldCurvature = poly22
p00 = 0
p10 = 0
p01 = 0
p20 = 0
p11 = 0
p02 = 0
CalibTable = CSV
NumOfRowsExceptHeader = 320
NumOfCols = 8
step,obj_height,pixel_pitch_x,pixel_pitch_y,scale_x,scale_y,shift_x,shift_y
0,15457.13,3.427239,3.427239,0.996517,0.996517,12.8952,7.4136
1,15404.86,3.42732,3.42732,0.996541,0.996541,12.8081,7.3635
2,15352.65,3.427401,3.427401,0.996564,0.996564,12.7211,7.3135
3,15300.5,3.427482,3.427482,0.996588,0.996588,12.6342,7.2635
4,15248.41,3.427562,3.427562,0.996611,0.996611,12.5474,7.2136
5,15196.36,3.427643,3.427643,0.996635,0.996635,12.4606,7.1637
6,15144.37,3.427724,3.427724,0.996658,0.996658,12.374,7.1139
7,15092.42,3.427804,3.427804,0.996682,0.996682,12.2874,7.0641
8,15040.51,3.427884,3.427884,0.996705,0.996705,12.2008,7.0144
9,14988.63,3.427965,3.427965,0.996728,0.996728,12.1144,6.9647
10,14936.79,3.428045,3.428045,0.996752,0.996752,12.0281,6.9151
11,14884.99,3.428125,3.428125,0.996775,0.996775,11.9418,6.8655
12,14833.2,3.428205,3.428205,0.996798,0.996798,11.8556,6.8159
13,14781.45,3.428285,3.428285,0.996821,0.996821,11.7694,6.7664
14,14729.71,3.428365,3.428365,0.996845,0.996845,11.6834,6.7169
15,14677.99,3.428445,3.428445,0.996868,0.996868,11.5974,6.6675
16,14626.29,3.428525,3.428525,0.996891,0.996891,11.5115,6.6181
17,14574.59,3.428604,3.428604,0.996914,0.996914,11.4257,6.5688
18,14522.9,3.428684,3.428684,0.996937,0.996937,11.34,6.5195
19,14471.22,3.428763,3.428763,0.996961,0.996961,11.2543,6.4702
20,14419.53,3.428843,3.428843,0.996984,0.996984,11.1687,6.421
21,14367.84,3.428922,3.428922,0.997007,0.997007,11.0832,6.3719
22,14316.15,3.429002,3.429002,0.99703,0.99703,10.9978,6.3227
23,14264.45,3.429081,3.429081,0.997053,0.997053,10.9124,6.2737
24,14212.73,3.42916,3.42916,0.997076,0.997076,10.8271,6.2246
25,14160.99,3.429239,3.429239,0.997099,0.997099,10.7419,6.1756
26,14109.24,3.429318,3.429318,0.997122,0.997122,10.6568,6.1267
27,14057.46,3.429397,3.429397,0.997145,0.997145,10.5717,6.0778
28,14005.66,3.429476,3.429476,0.997168,0.997168,10.4867,6.0289
29,13953.82,3.429555,3.429555,0.997191,0.997191,10.4018,5.9801
30,13901.96,3.429634,3.429634,0.997214,0.997214,10.3169,5.9313
31,13850.07,3.429713,3.429713,0.997237,0.997237,10.2322,5.8826
32,13798.14,3.429791,3.429791,0.99726,0.99726,10.1475,5.8339
33,13746.19,3.42987,3.42987,0.997282,0.997282,10.0629,5.7852
34,13694.21,3.429949,3.429949,0.997305,0.997305,9.9783,5.7366
35,13642.2,3.430027,3.430027,0.997328,0.997328,9.8938,5.6881
36,13590.17,3.430105,3.430105,0.997351,0.997351,9.8094,5.6396
37,13538.1,3.430184,3.430184,0.997374,0.997374,9.7251,5.5911
38,13486.01,3.430262,3.430262,0.997396,0.997396,9.6409,5.5426
39,13433.89,3.43034,3.43034,0.997419,0.997419,9.5567,5.4942
40,13381.74,3.430418,3.430418,0.997442,0.997442,9.4726,5.4459
41,13329.58,3.430496,3.430496,0.997465,0.997465,9.3885,5.3976
42,13277.39,3.430574,3.430574,0.997487,0.997487,9.3045,5.3493
